# cajeta hot control: q4_K 4096x14336x1 45937 ns/launch (device, clock scale 1.05358)
# calibration: reproduced llama.cpp mul_mat q4_K 4096x14336x1 hot: recorded 13330 ns, now 13829 ns (3.74344% apart, tolerance 5%)
# of_peak: fraction of the theoretical bus bandwidth 1008.1 GB/s (or of 165 TFLOPS where compute binds)
op	type	shape	residency	tier	cajeta_ns	cajeta_of_peak	llama_ns	llama_of_peak	ratio	par	llama_backend	note
mul_mat	q4_K	1024x4096x1	cold	device	27758	8.5%	4778	49.4%	5.81x	NOT PAR	CUDA 67a17c1	
mul_mat	q6_K	1024x4096x1	hot	device	26501	13.0%	3742	91.8%	7.08x	NOT PAR	CUDA 67a17c1	
mul_mat	q4_K	4096x4096x1	cold	device	19426	48.4%	11824	79.4%	1.64x	NOT PAR	CUDA 67a17c1	
mul_mat	q4_K	14336x4096x1	cold	device	50418	65.1%	35585	92.3%	1.42x	NOT PAR	CUDA 67a17c1	
mul_mat	q4_K	4096x14336x1	cold	device	49408	66.5%	35586	92.3%	1.39x	NOT PAR	CUDA 67a17c1	
mul_mat	q6_K	4096x14336x1	cold	device	60524	79.1%	51108	93.6%	1.18x	NOT PAR	CUDA 67a17c1	
mul_mat	q6_K	128256x4096x1	cold	device	448362	95.5%	434587	98.5%	1.03x	NOT PAR	CUDA 67a17c1	
# pairs 7, par 0, not par 7, refused 0
